species,,,,,linear distance ,4000 - 6000,m,4 to 6,km,,,,Rainbow runner
Acanthurus blochii,,,,,homerange ,8000000 - 18000000,m,18-Aug,km,,,,Atlantic cod
Albula vulpes,,,,,,,,,,,,,Longfin yellowtail
Bolbometopon muricatum,,,,,,,,,,,,,Blacktip shark
Calotomus carolinus,,,,,c,4000,6000,,,,,,Longtail tuna
Carangoides ferdau,,,,2a^2 =,c^2,16000000,36000000,,,,,,Escolar
Carangoides fulvoguttatus,,,,,a^2,8000000,18000000,,,,,,Great barracuda
Carangoides orthogrammus ,,,,,a^2 * 10^-6,8,18,,,,,,
Caranx ignobilis,,,,,,,,,,,,,
Caranx ignobilis ,,,,,,,,,,,,,
Caranx melampygus,,,,,,,,,,,,,
Caranx sexfasciatus ,,,,,,,,,,,,,
Carcharhinus amblyrhynchos,,,,,,,,,,,,,
Carcharhinus amboinensis,,,,,"Green et al., 2015; Bradley et al unpublished",,,,,,,,
Carcharhinus galapagensis,,,,,,,,,,,,,
Carcharhinus leucas,,,,,,,,,,,,,
Carcharhinus limbatus,,,,,,,,,,,,,
Carcharhinus melanopterus,,,,,,,,,,,,,
Carcharhinus melanopterus ,,,,,,,,,,,,,
Carcharhinus perezi ,,,,,,,,,,,,,
Carcharhinus plumbeus,,,,,,,,,,,,,
Cephalopholis sonnerati,,,,,,,,,,,,,
Cheilinus undulatus,,,,,,,,,,,,,
Chlorurus frontalis,,,,,,,,,,,,,
Coris aygula,,,,,,,,,,,,,
Elagatis bipinnulata,,,,,,,,,,,,,
Epinephelus fuscoguttatus,,,,,,,,,,,,,
Epinephelus guttatus,,,,,,,,,,,,,
Epinephelus marginatus,,,,,,,,,,,,,
Epinephelus morio ,,,,,,,,,,,,,
Gadus morhua,,,,,,,,,,,,,
Gymnosarda unicolor,,,,,,,,,,,,,
Haemulon plumieri,,,,,,,,,,,,,
Kyphosus sydneyanus,,,,,,,,,,,,,
Lepidocybium flavobrunneum,,,,,,,,,,,,,
Lethrinus mahsena,,,,,,,,,,,,,
Lethrinus miniatus,,,,,,,,,,,,,
Lethrinus nebulosus,,,,,,,,,,,,,
Lutjanus campechanus,,,,,,,,,,,,,
Manta alfredi,,,,,,,,,,,,,
Mycteroperca microlepis,,,,,,,,,,,,,
Negaprion brevirostris,,,,,,,,,,,,,
Negaprion brevirostris ,,,,,,,,,,,,,
Plectorhinchus flavomaculatus,,,,,,,,,,,,,
Plectropomus areolatus,,,,,,,,,,,,,
Plectropomus leopardus,,,,,,,,,,,,,
Pseudocaranx dentex,,,,,,,,,,,,,
Rhinoptera bonasus,,,,,,,,,,,,,
Ruvettus pretiosus,,,,,,,,,,,,,
Scarus prasiognathus,,,,,,,,,,,,,
Scarus rubroviolaceus,,,,,,,,,,,,,
Seriola lalandi,,,,,,,,,,,,,
Seriola rivoliana,,,,,,,,,,,,,
Siganus sutor,,,,,,,,,,,,,
Sphyraena barracuda,,,,,,,,,,,,,
Thunnus obesus,,,,,,,,,,,,,
Thunnus tonggol,,,,,,,,,,,,,
Triaenodon obesus,,,,,,,,,,,,,
