Species,AgeMatMin,ThermalBreadth,SurvivalRate
Albula vulpes,2.59,NA,NA
Caranx ignobilis,NA,3.0,NA
Caranx sexfasciatus,NA,3.0,NA
Carcharhinus amblyrhynchos,NA,NA,0.81
Carcharhinus limbatus,4.33,NA,0.77
Cheilinus undulatus,5.00,NA,NA
Coris aygula,NA,4.0,NA
Epinephelus fuscoguttatus,NA,NA,0.90
Epinephelus guttatus,NA,NA,0.51
Epinephelus marginatus,5.00,NA,0.93
Epinephelus morio,4.00,NA,0.84
Gymnosarda unicolor,NA,8.0,NA
Lethrinus mahsena,3.00,NA,0.74
Lethrinus miniatus,2.50,NA,0.50
Lutjanus campechanus,NA,NA,0.82
Mycteroperca microlepis,4.67,NA,0.71
Negaprion brevirostris,NA,NA,0.45
Plectropomus leopardus,2.50,NA,0.63
Scarus rubroviolaceus,NA,NA,0.68
Seriola lalandi,2.00,6.0,0.60
Siganus sutor,NA,NA,0.53
Sphyraena barracuda,3.00,NA,NA
Thunnus tonggol,NA,NA,0.61
,,,
Average:,3.51,4.8,0.69
Median:,3,4,0.70
