species,homerange,measure,,,linear distance ,2000 - 3000,m,2 to 3,km,,,Epinephelus morio,red grouper
Epinephelus morio,2.09,km^2,,,homerange ,2000000 - 4500000,m,2-4.5,km,,,Rostroraja alba,white skate
Rostroraja alba,2.136666667,km^2,,,,,,,,,,Balistes vetula,queen triggerfish
Balistes vetula,2.44,km^2,,,,,,,,,,Balistes vetula,queen triggerfish
Balistes vetula,3.34,km^2,,,c,2000,3000,,,,,Carcharhinus cautus,nervous shark
Carcharhinus cautus,3.42,km^2,,2a^2 =,c^2,4000000,9000000,,,,,Sphyraena barracuda,great barracuda
Sphyraena barracuda,3.69,km^2,,,a^2,2000000,4500000,,,,,Centropristis striata,black seabass
Centropristis striata,3.75,km^2,,,a^2 * 10^-6,2,4.5,,,,,Carcharhinus cautus,nervous shark
Carcharhinus cautus,3.8,km^2,,,,,,,,,,Ocyurus chrysurus,yellowtail snapper
Ocyurus chrysurus,4.17,km^2,,,,,,,,,,Carcharhinus ambylrynchos,grey reef shark
Carcharhinus ambylrynchos,4.4,km^2,,,,,,,,,,Carcharhinus amblyrhynchos,grey reef shark
Carcharhinus amblyrhynchos,4.4,km^2,,,,,,,,,,,
Seriola lalandi,,,,,,,,,,,,,
Acanthurus bahianus,,,,,"Green et al., 2015; Krueck et al., 2018; Bradley et al unpublished",,,,,,,,
Acanthurus blochii,,,,,,,,,,,,,
Carangoides ferdau,,,,,,,,,,,,,
Caranx ignobilis,,,,,,,,,,,,,
Caranx melampygus,,,,,,,,,,,,,
Caranx papuensis,,,,,,,,,,,,,
Caranx sexfasciatus,,,,,,,,,,,,,
Pseudocaranx dentex,,,,,,,,,,,,,
Seriola dumerili,,,,,,,,,,,,,
Seriola riviolana,,,,,,,,,,,,,
Scomberoides commersonnianus,,,,,,,,,,,,,
Cephalopholis sonnerati,,,,,,,,,,,,,
Epinephelus fuscoguttatus,,,,,,,,,,,,,
Epinephelus guttatus,,,,,,,,,,,,,
Epinephelus maculatus,,,,,,,,,,,,,
Epinephelus marginatus,,,,,,,,,,,,,
Epinephelus multinotatus,,,,,,,,,,,,,
Plectropomus areolatus,,,,,,,,,,,,,
Plectropomus leopardus,,,,,,,,,,,,,
Variola louti,,,,,,,,,,,,,
Haemulon flavolineatum,,,,,,,,,,,,,
Plectorhinchus flavomaculatus,,,,,,,,,,,,,
Kyphosus sydneyanus,,,,,,,,,,,,,
Cheilinus undulatus,,,,,,,,,,,,,
Coris aygula,,,,,,,,,,,,,
Lethrinus mahsena,,,,,,,,,,,,,
Lethrinus miniatus,,,,,,,,,,,,,
Lethrinus nebulosus,,,,,,,,,,,,,
Lutjanus argentimaculatus,,,,,,,,,,,,,
Lutjanus aya,,,,,,,,,,,,,
Lutjanus campechanus,,,,,,,,,,,,,
Lutjanus campechanus,,,,,,,,,,,,,
Lutjanus johni,,,,,,,,,,,,,
Bolbometopon muricatum,,,,,,,,,,,,,
Chlorurus frontalis,,,,,,,,,,,,,
Chlorurus microrhinos,,,,,,,,,,,,,
Scarus prasiognathus,,,,,,,,,,,,,
Scarus rubroviolaceous,,,,,,,,,,,,,
Sparisoma aurofrenatum ,,,,,,,,,,,,,
Siganus fuscescens,,,,,,,,,,,,,
Siganus sutor,,,,,,,,,,,,,
Carcharhinus albimarginatus,,,,,,,,,,,,,
Carcharhinus amblyrhynchos,,,,,,,,,,,,,
Carcharhinus galapagensis,,,,,,,,,,,,,
Carcharhinus limbatus,,,,,,,,,,,,,
Carcharhinus perezi,,,,,,,,,,,,,
Galeocerdo cuvier,,,,,,,,,,,,,
Triaenodon obesus,,,,,,,,,,,,,
