species,M,FecundityMax,tm,AgeMatMin,,,,species,TempPreferred,TempPref50,TempMin,TempMax,Range,,,species,FBname
Carcharhinus amblyrhynchos,NA,3,NA,NA,,,,Balistes vetula,NA,NA,28,NA,,,,Acanthurus bahianus,Barber surgeonfish
Carcharhinus amblyrhynchos,NA,3,NA,NA,,,,Balistes vetula,NA,NA,28,NA,,,,Acanthurus blochii,Ringtail surgeonfish
Carcharhinus amblyrhynchos,NA,4,NA,NA,,,,Bolbometopon muricatum,28,28,NA,NA,,,,Balistes vetula,Queen triggerfish
Carcharhinus amblyrhynchos,NA,4,NA,NA,,,,Caranx ignobilis,27,27,26,29,3,,,Balistes vetula,Queen triggerfish
Carcharhinus amblyrhynchos,NA,4,NA,NA,,,,Caranx melampygus,28,28,NA,NA,,,,Bolbometopon muricatum,Green humphead parrotfish
Carcharhinus amblyrhynchos,NA,4,NA,NA,,,,Caranx sexfasciatus,26,27,26,29,3,,,Carangoides ferdau,Blue trevally
Carcharhinus cautus,NA,5,NA,NA,,,,Carcharhinus limbatus,27,27,NA,NA,,,,Caranx ignobilis,Giant trevally
Carcharhinus cautus,NA,5,NA,NA,,,,Centropristis striata,19,19,NA,NA,,,,Caranx melampygus,Bluefin trevally
Triaenodon obesus,NA,5,NA,NA,,,,Coris aygula,NA,NA,24,28,4,,,Caranx papuensis,Brassy trevally
Carcharhinus amblyrhynchos,NA,6,NA,NA,,,,Epinephelus fuscoguttatus,27,28,NA,NA,,,,Caranx sexfasciatus,Bigeye trevally
Carcharhinus amblyrhynchos,NA,6,NA,NA,,,,Epinephelus guttatus,26,26,NA,NA,,,,Carcharhinus albimarginatus,Silvertip shark
Carcharhinus amblyrhynchos,NA,6,NA,NA,,,,Epinephelus marginatus,26,25,NA,NA,,,,Carcharhinus amblyrhynchos,Blacktail reef shark
Carcharhinus amblyrhynchos,NA,6,NA,NA,,,,Epinephelus morio,26,27,NA,NA,,,,Carcharhinus amblyrhynchos,Blacktail reef shark
Carcharhinus amblyrhynchos,NA,6,NA,NA,,,,Epinephelus multinotatus,28,28,NA,NA,,,,Carcharhinus cautus,Nervous shark
Carcharhinus amblyrhynchos,NA,6,NA,NA,,,,Galeocerdo cuvier,26,26,NA,NA,,,,Carcharhinus cautus,Nervous shark
Carcharhinus limbatus,NA,7,NA,NA,,,,Lethrinus mahsena,28,28,NA,NA,,,,Carcharhinus galapagensis,Galapagos shark
Carcharhinus limbatus,NA,7,NA,NA,,,,Lethrinus nebulosus,28,27,NA,NA,,,,Carcharhinus limbatus,Blacktip shark
Carcharhinus albimarginatus,NA,10,NA,NA,,,,Lutjanus argentimaculatus,27,27,16,30,14,,,Centropristis striata,Black seabass
Carcharhinus albimarginatus,NA,10,NA,NA,,,,Lutjanus campechanus,22,24,NA,NA,,,,Cephalopholis sonnerati,Tomato hind
Carcharhinus limbatus,NA,10,NA,NA,,,,Lutjanus campechanus,22,24,NA,NA,,,,Cheilinus undulatus,Humphead wrasse
Carcharhinus limbatus,NA,10,NA,NA,,,,Ocyurus chrysurus,26,26,NA,NA,,,,Chlorurus frontalis,Pacific slopehead parrotfish
Carcharhinus albimarginatus,NA,11,NA,NA,,,,Plectropomus areolatus,28,28,NA,NA,,,,Chlorurus microrhinos,Steephead parrots
